TransactionID,IsFraud
30cef225-932c-4fd5-b3d2-bd64f75ad97d,True
fe1731bd-99ea-4cd9-8dd2-d0c20ebd7b05,False
423c0cf8-3806-41f8-ad41-67d9914c5442,False
b346a115-75a9-4493-a6ae-6434003e2655,False
318d4a98-c5f8-4e1b-a83a-12d0e9ad4f86,True
060a3c6a-d3aa-440c-8552-b70627d10699,True
056f70e2-8013-4207-ab3e-1a08013c48b7,True
d2218973-6729-4741-922a-3117fc9a7e97,False
c6d646ae-f426-4c97-ae5c-08a9ac533e7d,False
526cbc50-5ea6-433e-b8e9-018ada3ce72f,True
e0a1e484-d0e7-4921-9614-df5fb149a95a,True
0b6f8881-db1a-4edf-a5f7-8a4c89db6c4c,True
a303be26-0227-4b9c-8155-d279b39903b8,True
c0b0b063-96b6-4e5d-b411-f8c31b544912,False
767aabc3-6008-44e5-93e9-9c0001dfe946,True
594b80eb-48a3-46f1-8c73-562f52e87863,False
e0b26e8d-ff31-40b0-9feb-a96a78202e81,True
364e8823-4fdc-44ba-8ab6-8fd0d8038c32,False
90a390a7-a0cd-4bb9-971f-63442a190c22,True
e8c911e6-3e45-43b0-9b23-8c05390a127e,True
ee2c5513-a43d-4f86-9610-655b8fb668d3,True
49a3d666-2323-4ba5-89ef-5c66f92643c4,False
7ebde3fb-07a9-4ba1-bd61-3be9752e38f8,False
a9d511b6-1adc-41db-aced-65114cb9ab9d,False
af2e6a83-8ca7-4d7b-8a61-b6efbbf4430b,True
1965d3ab-7cb2-408d-b8f3-b86f1b4eb8f5,False
bd9456d3-72af-4c06-951c-d53b3be13950,True
e9d5371d-8069-496e-8904-eded58a987ad,False
25466ee6-a7e1-4c23-8a63-be9b2ab37ee7,True
d87a89a2-16c3-4433-8ecd-b9656ad6cde4,True
df338aea-572a-4475-b3ad-71a02cab2450,True
81b8d374-10cf-42fc-b799-247ee757790d,True
4dedd98f-6445-4c84-9b84-515fbff097a0,True
616331d2-ced7-4db0-8e6f-c78d15ca5db7,True
a56785bd-e8c9-431b-912b-f4a314be0f29,True
ea07910d-e993-455c-beee-582e35eb62b1,False
518b3e65-61b3-44c4-99b0-aed25ae2ebad,False
98861592-5180-4f30-a8cd-4e02a60ec1be,True
966addcf-2ae2-44f3-8da9-65211a9f6a24,True
f01df666-99a7-4f36-af8f-20265b4015eb,False
7a6b9e1d-98b4-4435-8b45-883126cb193e,True
c4813704-8770-4dd4-8d33-dda93e9665cc,True
ab48d80f-1b12-4bb2-b3f6-1fd0e32488ba,False
b28c9f56-eb2b-47cc-9949-02a8bde70658,True
e3cf2c46-1d75-4807-8b36-1a687a167338,True
8fde894b-c005-4d9f-b59b-0aeea17a73fe,True
08687a9c-70ae-49cd-9a9e-ac3ee448b413,True
b9533d13-7874-4059-82a0-a3db628ebef2,True
6539637c-e94d-4258-8938-9ea76f6fbf8b,True
086e45c8-b89c-4f02-bacd-fde58e9d0f1e,True
49f31724-3dba-42b9-b316-895178bafae4,False
6a200d0e-1fe3-4dcd-8159-c4482f52326a,True
f506f04f-d7f1-45d9-a4ae-5da84eacf104,True
8a09722f-2445-4e05-81f8-f685808bc436,True
6992d036-11b4-467d-837c-8549f76452f4,False
9464496a-3fd4-4c7f-9d4b-85ae25fdf480,True
e36a2a5b-f55f-445c-9c88-93e97bfd5b69,False
9af48d47-1a4b-4d9a-a99c-8751b2bc5376,False
6de95fda-b0b6-4ea7-94ae-189957ee6b4e,False
95aec6e5-a6ae-4c8c-8c6a-733abc15c671,False
89c5bc6f-6d6c-45cd-9e96-ecafef3f96bf,True
1d23abb9-485b-4025-96c5-2e0b1ac1706e,True
5cc417a3-8492-4260-8c0b-dbd06c00bcae,False
f7745c0e-614f-442f-ae28-ce313e131d29,True
92dc49bf-c553-435b-b3c7-a81d6b400b0c,True
98c53445-6d3f-4282-ae42-db740dc84df3,False
4e4e4945-50bd-4e1e-afe4-efd11d81fa70,True
b37d08b5-e006-43af-b81e-c69339afa462,True
bef14ed1-5844-4ca6-833b-c0c79d378c41,False
39f22e28-7b24-4b80-937b-901434ef8ddd,True
70bcc583-146b-4960-b910-33d060f32321,False
4b379458-eff6-4e6e-a557-e6d87da552ee,False
ece24e08-acd8-46de-900b-3cd38b9561b6,False
715bc122-c367-4ad6-9910-45d1be30bef0,False
1ea0542e-548f-45f7-bae6-32556ee4f876,True
b457f778-fa8c-4519-b4c7-94ca5dc71a15,True
e63fc0f8-fbdf-40f4-a464-1db77be5b5f7,False
e565595f-ea1c-4835-9781-c7fa7205ce04,False
ee71670f-67f9-4949-b417-b7632846bcac,False
3caa0a4b-e661-4d0b-870a-f9c386354a68,True
ca2504a0-f8eb-4d01-b3c7-bc3e591b6bef,True
6f7cc8c3-b1d2-4298-8269-635f6a41e22c,True
645c3bbb-d396-42ce-8f63-c1692c732404,True
5a03f814-20f2-4d20-a0a0-8ed7b43c1584,False
